City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
106,Launceston,-41.45,147.1667,33.15,93,29,4.61,AU,scattered clouds,2022-06-13 16:32:28
107,Goderich,43.7501,-81.7165,61.92,77,53,9.22,CA,broken clouds,2022-06-13 16:30:05
108,Mitsamiouli,-11.3847,43.2844,78.73,70,5,6.11,KM,clear sky,2022-06-13 16:32:28
109,Muros,42.7762,-9.0603,94.68,56,15,3.06,ES,few clouds,2022-06-13 16:32:29
110,Torbay,47.6666,-52.7314,57.88,77,40,8.05,CA,scattered clouds,2022-06-13 16:28:09
111,Dosso,13.049,3.1937,104.23,22,12,9.37,NE,few clouds,2022-06-13 16:32:29
112,Kapaa,22.0752,-159.319,74.48,91,40,14.97,US,light rain,2022-06-13 16:32:29
113,Lata,40.1629,-8.3327,87.49,48,42,9.13,PT,scattered clouds,2022-06-13 16:32:30
114,Mwinilunga,-11.7358,24.4293,62.58,47,8,4.43,ZM,clear sky,2022-06-13 16:32:30
115,Limbang,4.75,115.0,78.91,98,97,1.99,MY,overcast clouds,2022-06-13 16:32:30
116,Kavieng,-2.5744,150.7967,81.81,74,15,14.2,PG,few clouds,2022-06-13 16:32:31
117,Vanimo,-2.6741,141.3028,77.22,89,17,6.71,PG,few clouds,2022-06-13 16:32:31
118,Viransehir,37.2353,39.7631,81.88,34,0,19.89,TR,clear sky,2022-06-13 16:32:31
119,Brae,60.3964,-1.353,51.21,94,100,16.87,GB,light rain,2022-06-13 16:32:32
120,Atherton,53.5237,-2.4935,63.9,59,70,5.01,GB,broken clouds,2022-06-13 16:32:32
121,Qasigiannguit,68.8193,-51.1922,34.05,77,99,11.45,GL,overcast clouds,2022-06-13 16:32:32
122,Smithers,54.7804,-127.1743,48.52,76,75,2.3,CA,broken clouds,2022-06-13 16:28:05
123,Trincomalee,8.5711,81.2335,80.8,78,99,9.75,LK,overcast clouds,2022-06-13 16:32:33
124,Lompoc,34.6391,-120.4579,70.61,72,0,17.27,US,clear sky,2022-06-13 16:30:05
125,Nizhnevartovsk,60.9344,76.5531,59.02,100,75,4.47,RU,light intensity shower rain,2022-06-13 16:32:33
126,Ostrovnoy,68.0531,39.5131,52.5,87,100,3.11,RU,light rain,2022-06-13 16:32:33
127,Tigzirt,36.8886,4.1198,83.08,47,1,10.13,DZ,clear sky,2022-06-13 16:32:33
128,Solnechnyy,50.7214,136.6319,57.16,81,93,4.65,RU,overcast clouds,2022-06-13 16:32:34
129,Quelimane,-17.8786,36.8883,66.29,93,25,2.95,MZ,scattered clouds,2022-06-13 16:32:34
130,Bandar-E Lengeh,26.5579,54.8807,93.31,59,0,9.22,IR,haze,2022-06-13 16:32:34
131,Kruisfontein,-34.0033,24.7314,61.88,42,100,1.36,ZA,overcast clouds,2022-06-13 16:32:35
132,San Andres,12.5847,-81.7006,75.22,94,75,5.75,CO,broken clouds,2022-06-13 16:32:35
133,Praia Da Vitoria,38.7333,-27.0667,70.75,88,20,11.9,PT,few clouds,2022-06-13 16:32:35
134,Avarua,-21.2078,-159.775,68.05,94,80,1.14,CK,broken clouds,2022-06-13 16:32:36
135,Aswan,24.0934,32.907,108.7,10,0,12.66,EG,clear sky,2022-06-13 16:33:36
136,Saskylakh,71.9167,114.0833,59.04,53,43,3.71,RU,scattered clouds,2022-06-13 16:33:36
137,Saint-Augustin,51.226,-58.6502,63.88,53,90,9.57,CA,overcast clouds,2022-06-13 16:33:36
138,Sitka,57.0531,-135.33,49.89,87,100,0.0,US,overcast clouds,2022-06-13 16:33:37
139,Saint-Philippe,-21.3585,55.7679,71.19,76,57,14.99,RE,broken clouds,2022-06-13 16:33:37
140,Great Yarmouth,52.6083,1.7305,68.07,69,52,8.84,GB,broken clouds,2022-06-13 16:33:37
141,Namatanai,-3.6667,152.4333,78.71,78,13,8.99,PG,few clouds,2022-06-13 16:33:38
142,Venice,27.0998,-82.4543,92.05,71,0,6.91,US,clear sky,2022-06-13 16:32:02
143,Paamiut,61.994,-49.6678,35.82,81,11,33.46,GL,few clouds,2022-06-13 16:33:38
144,Novyy Urengoy,66.0833,76.6333,63.23,71,99,13.13,RU,overcast clouds,2022-06-13 16:33:38
145,Balikpapan,-1.2675,116.8289,76.19,94,20,4.61,ID,few clouds,2022-06-13 16:33:39
146,Benjamin Constant,-4.3831,-70.0311,77.13,65,75,8.05,BR,broken clouds,2022-06-13 16:33:39
147,Esperance,-33.8667,121.9,59.85,79,86,23.49,AU,light rain,2022-06-13 16:33:39
148,Port Elizabeth,-33.918,25.5701,64.09,77,0,4.61,ZA,clear sky,2022-06-13 16:33:39
149,Kuruman,-27.4524,23.4325,63.0,42,88,10.67,ZA,overcast clouds,2022-06-13 16:33:40
150,Pisco,-13.7,-76.2167,61.02,94,100,4.61,PE,light intensity drizzle,2022-06-13 16:33:40
151,Sri Aman,1.2376,111.4621,75.25,94,100,0.0,MY,overcast clouds,2022-06-13 16:33:40
152,Viedma,-40.8135,-62.9967,62.67,35,100,16.67,AR,overcast clouds,2022-06-13 16:33:41
153,Nyrob,60.733,56.7202,52.72,61,0,2.66,RU,clear sky,2022-06-13 16:33:41
154,Barcelos,41.5388,-8.6151,89.92,49,46,4.83,PT,scattered clouds,2022-06-13 16:31:03
155,Laguna,38.421,-121.4238,71.89,42,0,12.66,US,clear sky,2022-06-13 16:33:41
156,Lensk,60.7253,114.9278,50.38,78,9,2.21,RU,clear sky,2022-06-13 16:33:42
157,Mareeba,-17.0,145.4333,59.72,97,31,2.3,AU,scattered clouds,2022-06-13 16:33:42
158,Palembang,-2.9167,104.7458,77.09,94,40,2.3,ID,scattered clouds,2022-06-13 16:33:42
159,Ewa Beach,21.3156,-158.0072,78.75,74,20,11.5,US,few clouds,2022-06-13 16:33:42
160,Nanortalik,60.1432,-45.2371,38.88,73,7,28.97,GL,clear sky,2022-06-13 16:33:43
161,Khatanga,71.9667,102.5,62.91,43,96,6.51,RU,overcast clouds,2022-06-13 16:33:43
162,Bilma,18.6853,12.9164,105.69,8,2,7.45,NE,clear sky,2022-06-13 16:33:43
163,Portland,45.5234,-122.6762,57.38,74,100,5.99,US,overcast clouds,2022-06-13 16:32:27
164,Altay,47.8667,88.1167,73.13,35,85,6.08,CN,overcast clouds,2022-06-13 16:33:44
165,Yellowknife,62.456,-114.3525,64.92,63,20,6.91,CA,few clouds,2022-06-13 16:33:44
166,Yerbogachen,61.2767,108.0108,53.58,62,96,1.39,RU,overcast clouds,2022-06-13 16:33:44
167,Constitucion,-35.3333,-72.4167,53.64,75,100,3.42,CL,overcast clouds,2022-06-13 16:33:15
168,Sheboygan,43.7333,-87.9334,75.18,77,0,10.36,US,clear sky,2022-06-13 16:33:45
169,Sao Filipe,14.8961,-24.4956,75.04,73,2,8.88,CV,clear sky,2022-06-13 16:33:45
170,Kuah,6.3265,99.8432,80.58,89,20,2.3,MY,few clouds,2022-06-13 16:33:45
171,Derzhavinsk,51.1,66.3167,59.18,78,37,14.67,KZ,scattered clouds,2022-06-13 16:33:46
172,Lahij,13.1667,44.5833,90.09,46,93,2.06,YE,overcast clouds,2022-06-13 16:33:46
173,Souillac,-20.5167,57.5167,73.78,68,40,12.66,MU,scattered clouds,2022-06-13 16:33:46
174,San Vicente,-26.6167,-54.1333,62.49,43,0,2.98,AR,clear sky,2022-06-13 16:32:08
175,Uige,-7.6087,15.0613,84.22,48,20,6.91,AO,few clouds,2022-06-13 16:33:47
